handle,tweet_summary,date,category,status,action,notes,reply_draft
@onlydavidcoen,"wish I could read Japanese - book about feelings",2026-04-03,wish-read-jp,未対応,,本関連,"You actually can! Buy the book on Amazon JP Kindle, then use BookHalo (Chrome extension) to extract the text via OCR — paste it into ChatGPT or DeepL and you've got a solid translation in seconds."
@NewDay_NewStart,"wish I could read Japanese guitar store signs",2026-04-02,wish-read-jp,未対応,,音楽関連,SKIP - 本と無関係
@douglass_meghan,"I wish I could read Japanese!",2026-04-01,wish-read-jp,未対応,,"","If it's books you're after — you can grab Japanese books on Kindle, extract the text with a Chrome extension called BookHalo, and run it through AI translation. Not perfect but surprisingly readable!"
@Zain_Onchain,"I wish i could read Japanese",2026-04-01,wish-read-jp,未対応,,"","Same tbh. I built a tool that extracts text from Japanese Kindle books so you can paste it into ChatGPT/DeepL. Works surprisingly well for novels — BookHalo on Chrome Web Store if you're curious."
@FrankieHerr2,"wish I could read and speak Japanese",2026-04-01,wish-read-jp,未対応,,,"For reading at least — there's a workaround now. Buy Japanese books on Kindle, extract text with BookHalo (Chrome extension + OCR), then translate with AI. Way faster than waiting for official translations."
@Nayal_15,"wish I could read Japanese to play this",2026-03-31,wish-read-jp,未対応,,ゲーム関連,SKIP - ゲーム関連
@YourBuddyNexx,"wanting more works translated - wish I could read JP",2026-03-31,wish-read-jp,未対応,,翻訳待ち勢,"Exactly this. So many great works that'll never get official translations. I made a Chrome extension (BookHalo) that OCRs Japanese Kindle books so you can feed the text into AI translators. Not a replacement for real translations but it gets you 90% there."
@seosqueeze,"wish I could read Japanese",2026-03-31,wish-read-jp,未対応,,"","If you're into Japanese books — you can actually read them now with AI. Buy on Kindle JP, extract text with BookHalo (Chrome extension), translate with ChatGPT. The future is here lol"
@AbdulmaleekIx,"wish I could read Japanese but can't",2026-03-30,wish-read-jp,未対応,,"","For books at least, there's a hack: Kindle JP + BookHalo (OCR Chrome extension) + ChatGPT. You'd be surprised how good AI translation has gotten."
@kabudosai,"wish I could read and speak Japanese",2026-03-30,wish-read-jp,未対応,,,"Reading part is solvable now! Japanese Kindle books → BookHalo (Chrome extension, extracts text via OCR) → ChatGPT/DeepL. Speaking... still working on that one 😅"
@KJPlisskin,"wish I could read Japanese",2026-03-30,wish-read-jp,未対応,,"","If it's Japanese books you want to read — Buy on Amazon JP Kindle, use BookHalo to OCR the text out, paste into ChatGPT. Game changer for untranslated novels."
@Ace_Combat_Fan,"Yukikaze series - if English translation takes too long read JP",2025-12-09,waiting-translation,未対応,,ラノベ/小説,"If you grab the JP Kindle version, there's a Chrome extension called BookHalo that extracts the text via OCR. Run it through ChatGPT and you can actually read it now instead of waiting years for an official translation."
